popularity,release_date,rus,vote_average
17.057,2014-08-12,Бэтмен: Штурм Аркхема,7.4
10.34,2012-05-25,Сейчас самое подходящее время.,7.4
20.694,1998-07-31,ЭверАфтер,7.4
20.904,2002-07-12,Дорога в погибель,7.4
23.436,2018-07-27,"Юные Титаны, вперёд! В кино!",7.4
43.708,2012-06-22,Я хочу тебя,7.4
13.543,2003-06-11,Тройняшки из Бельвиля,7.4
40.407,1986-08-15,Муха,7.4
17.302,2007-09-14,Восточные обещания,7.4
8.597,1928-11-18,Пароход Вилли,7.4
6.51,1955-12-25,"Всё, что дозволено Небесами",7.4
16.885,2004-06-21,Скуби-Ду! и Лох-Несское чудовище,7.4
14.339,1972-09-10,Джеремиа Джонсон,7.4
12.386,2006-03-23,"Ветер, что колышет ячмень",7.4
11.111,2019-10-04,"Извините, что мы вас не застали.",7.4
13.903,1995-12-29,«Мертвец идёт»,7.4
9.617,2017-06-01,Безлюбовь,7.4
6.193,1981-02-20,"Bianco, rosso e Verdone",7.4
15.061,2002-12-19,25-й час,7.4
22.15,1977-11-18,Близкие контакты третьего вида,7.4
23.784,2017-04-27,Бахубали 2: Заключение,7.4
22.313,2012-09-09,Невозможное,7.4
6.865,1979-11-22,Французский отпуск 2,7.4
9.286,1986-09-20,Вниз по закону,7.4
11.731,1993-09-24,Ошеломлённые и растерянные,7.4
43.944,1996-12-20,Крик,7.4
10.173,1935-11-22,Мятеж на «Баунти»,7.4
25.13,1996-07-24,Время убивать,7.4
30.689,2001-12-28,«Черный ястреб»,7.4
5.408,2019-09-04,Играть,7.4
12.691,1990-03-28,Сирано де Бержерак,7.4
7.392,1991-06-27,Европа,7.4
18.854,1991-01-01,Моя девочка,7.4
21.342,1981-05-27,Владение,7.4
9.124,1966-10-05,Секунды,7.4
9.643,1935-08-29,Цилиндр,7.4
8.089,2019-11-12,Плавать,7.4
7.174,1975-12-10,Седьмая компания найдена,7.4
83.299,2017-07-05,Человек-паук: Возвращение домой,7.4
7.947,1991-10-24,Джонни Стеккино,7.4
18.928,1968-04-02,Ромео и Джульетта,7.4
13.144,1955-08-03,Поймать вора,7.4
18.357,2012-02-03,Берсерк: Золотой век. Арка I — Яйцо короля.,7.4
16.196,2009-06-26,Хранительница моей сестры,7.4
31.171,2002-01-30,Астерикс и Обеликс: Миссия Клеопатра,7.4
7.341,1999-09-10,В Китае едят собак.,7.4
54.241,2015-03-24,Левша,7.4
15.991,1993-02-26,Падение,7.4
13.381,2003-09-06,21 грамм,7.4
12.86,2013-11-29,Спасение мистера Бэнкса,7.4
58.157,2012-11-21,Хранители снов,7.4
10.135,1969-03-07,Мозг,7.4
13.346,2009-11-06,Драгоценный,7.4
6.424,1965-10-22,Джульетта из мира духов,7.4
21.228,1951-11-28,Скрудж,7.4
17.09,2021-07-05,Температура кипения,7.4
18.747,2018-03-14,Призрачная страна,7.4
9.472,2016-09-16,Мистер Черч,7.4
6.666,2002-01-16,Кровавое воскресенье,7.4
12.232,2019-11-01,Харриет,7.4
19.113,2019-05-17,Рокетмен,7.4
21.569,2017-11-22,Самый тёмный час,7.4
22.969,2016-05-13,Лига Справедливости против Юных Титанов,7.4
15.059,2010-01-22,Такер и Дейл против зла,7.4
15.509,1995-12-23,Воспоминания,7.4
17.74,2003-09-30,Скуби-Ду! и монстр Мексики,7.4
16.814,1991-07-20,Только вчера,7.4
12.987,1993-09-17,Руди,7.4
11.258,1967-10-26,Дождитесь темноты,7.4
18.797,1991-02-07,Операция «Кондор»,7.4
6.383,1954-09-07,Путешествие в Италию,7.4
355.006,2022-11-17,Меню,7.4
19.361,2011-12-14,Девушка с татуировкой дракона,7.4
11.191,1971-03-05,Смерть в Венеции,7.4
11.423,1966-03-22,Мужской Женский,7.4
20.42,2005-10-26,Матч-пойнт,7.4
16.712,2013-11-09,Патема перевернутая,7.3
12.68,2013-08-16,Дворецкий,7.3
5.361,1971-07-21,Пробуждение в ужасе,7.3
13.559,1973-12-01,Плетеный человек,7.3
16.458,1978-10-05,Пьяный Мастер,7.3
20.124,1997-04-10,Джеки Браун,7.3
39.685,2020-04-24,Экстракция,7.3
74.243,1989-11-17,Русалочка,7.3
24.926,2008-09-03,Мученики,7.3
14.418,2021-10-28,Паникует,7.3
12.702,2015-09-11,Полный вперед,7.3
45.826,2016-11-16,Фантастические звери и где их найти,7.3
22.322,2009-02-07,Кровь и кости,7.3
9.801,1955-01-13,Неудачный день в Блэк-Роке,7.3
25.077,1964-09-20,Голдфингер,7.3
46.432,2013-05-29,Теперь ты меня видишь,7.3
21.73,2018-08-02,Кристофер Робин,7.3
66.738,2019-10-16,Малефисента: Владычица зла,7.3
12.433,2017-03-30,Больная болезнь,7.3
7.844,2015-10-23,Помнить,7.3
30.718,2014-08-08,"Останься со мной, Дораэмон",7.3
14.932,1952-07-21,Тихий человек,7.3
12.216,1984-05-13,Секс-миссия,7.3
12.914,1992-03-13,Американский я,7.3
10.158,1952-01-07,Африканская королева,7.3
29.235,1984-10-09,Рождественская песня,7.3
10.092,1998-09-16,Поезд жизни,7.3
10.747,1997-12-12,Разбор образа Гарри,7.3
48.412,2006-09-13,Парфюм: История убийцы,7.3
10.906,1966-12-13,Мужчина на все времена,7.3
6.61,2019-06-27,Анима,7.3
17.759,2016-05-12,Плач,7.3
20.124,2012-12-18,Отверженные,7.3
12.028,1953-08-28,Отсюда до вечности,7.3
23.931,1987-08-21,Грязные танцы,7.3
21.307,2017-09-07,Папийон,7.3
8.057,2013-11-28,Мафия убивает только летом.,7.3
26.886,2010-10-01,Социальная сеть,7.3
20.8,1992-12-10,Рождественская история Маппетов,7.3
13.119,1997-09-11,Забавные игры,7.3
13.346,1987-12-23,"Доброе утро, Вьетнам",7.3
4.92,2017-04-23,Дорогой баскетбол!,7.3
19.135,1998-02-27,Тёмный город,7.3
14.496,1992-06-03,"Твин Пикс: Огонь, иди со мной",7.3
22.002,2018-02-16,З-О-М-Б-И-И-И,7.3
10.254,1996-05-22,Восьмой день,7.3
8.178,2001-03-16,Его тайная жизнь,7.3
10.782,2019-01-03,Гигантские малыши,7.3
15.028,2007-04-01,Убеждение,7.3
14.798,1953-07-14,Джентльмены предпочитают блондинок,7.3
14.876,2001-09-05,Учительница фортепиано,7.3
11.873,2016-12-28,Женщины 20-го века,7.3
11.109,2015-03-20,Женщина в золоте,7.3
9.585,2008-11-19,Месрин: Враг народа №1,7.3
93.88,2002-03-10,Ледниковый период,7.3
43.345,2009-10-15,Законопослушный гражданин,7.3
11.076,1997-10-04,Бэтмен и Супермен в кино: Лучшие в мире,7.3
10.159,1950-07-12,Винчестер '73,7.3
11.255,2019-05-24,Элиза и Марсела,7.3
65.59,2020-09-23,Энола Холмс,7.3
9.444,2010-02-12,Безумные пушки,7.3
5.687,1976-10-29,Лошадиная лихорадка,7.3
25.186,2007-03-03,5 сантиметров в секунду,7.3
13.861,1968-04-04,Партия,7.3
14.804,1991-04-17,гастроном,7.3
10.528,2015-03-12,Французская сюита,7.3
25.131,2002-06-20,Отчет меньшинства,7.3
14.645,2017-03-23,Тайное Писание,7.3
25.794,2013-05-05,Звездный путь: В темноту,7.3
9.631,2010-01-15,Первая прекрасная вещь,7.3
11.892,2006-09-01,Ghost in the Shell: Stand Alone Complex – Solid State Society,7.3
10.815,2004-12-17,Свадес,7.3
61.002,2016-11-15,Расколоть,7.3
8.267,1953-02-09,Лето с Моникой,7.3
10.529,1975-06-11,Нэшвилл,7.3
70.161,2006-07-06,Пираты Карибского моря: Сундук мертвеца,7.3
29.178,2020-08-28,Финес и Ферб: Фильм: Кэндис против Вселенной,7.3
26.771,2015-12-11,Большая короткая продажа,7.3
11.318,1971-07-01,Прогулка,7.3
8.562,1987-02-07,Закон Желания,7.3
10.606,1964-06-23,Выстрел вслепую,7.3
6.133,2010-11-24,Имена любви,7.3
10.158,2004-10-26,Очень долгая помолвка,7.3
15.633,2018-08-02,Миа и белый лев,7.3
28.309,1996-03-04,Dragon Ball: Путь к власти,7.3
21.774,2002-04-13,Межштатная автомагистраль 60,7.3
8.007,1959-12-22,"Внезапно, прошлым летом",7.3
11.565,1983-03-31,Смысл жизни,7.3
18.707,2019-06-28,Офелия,7.3
14.06,2008-02-06,Шоколад,7.3
24.0,1989-08-09,Бездна,7.3
15.997,1995-08-17,Город потерянных детей,7.3
12.766,2017-07-28,Детройт,7.3
17.09,2007-07-27,Американское преступление,7.3
16.688,1981-07-24,Задуть,7.3
12.255,2014-10-10,Лава,7.3
13.829,2013-12-25,Врач,7.3
14.011,1989-03-03,Обопрись на меня,7.3
8.352,1942-07-10,Великолепные Амберсоны,7.3
11.991,2020-07-10,Палм-Спрингс,7.3
17.745,2016-06-24,Приключения няни,7.3
10.747,2014-10-14,Завещание юности,7.3
15.421,2010-02-23,Лига справедливости: Кризис на двух Землях,7.3
11.368,1999-06-02,Призрачный пёс: Путь самурая,7.3
14.801,1989-03-31,Хизерс,7.3
24.068,2004-06-17,Терминал,7.3
13.082,2009-01-07,"Красный Утес, часть II",7.3
12.931,2004-10-17,В поисках Неверленда,7.3
17.387,1998-03-03,"Беги, Лола, беги!",7.3
4.085,2013-12-30,Выключите свет,7.3
14.651,2012-09-20,Конец дежурства,7.3
8.067,2007-10-26,Jab We Met,7.3
7.948,1972-03-09,"Как дела, доктор?",7.3
58.047,2012-11-01,Ральф-разрушитель,7.3
9.824,2011-04-20,Пацанка,7.3
7.901,1977-04-10,3 женщины,7.3
16.223,1972-08-18,Избавление,7.3
10.705,1931-12-24,Доктор Джекил и мистер Хайд,7.3
20.099,2000-08-30,"О брат, где ты?",7.3
20.656,2018-03-28,Гонджиам: Приют с привидениями,7.3
13.129,2010-12-22,Желтое море,7.3
50.034,2009-03-04,Хранители,7.3
19.338,1981-04-02,Кристиана Ф.,7.3
10.314,2005-03-15,Атака Джека-Джека,7.3
29.176,1964-12-06,"Рудольф, красноносый олень",7.3
14.975,1961-04-27,Пушки Наварона,7.3
10.212,1975-02-28,Пассажир,7.3
13.464,2002-12-27,Часы,7.3
21.927,2016-04-23,Я — герой,7.3
62.017,2012-11-26,Хоббит: Нежданное путешествие,7.3
7.973,1959-12-16,Карманный вор,7.3
9.503,1968-09-04,Украденные поцелуи,7.3
12.465,2008-12-03,Вопрос хлеба и смерти,7.3
17.014,2002-12-14,Банды Нью-Йорка,7.3
8.452,1998-09-04,Любители Полярного круга,7.3
17.488,2016-05-04,Тини: Новая жизнь Виолетты,7.3
14.437,2016-06-16,Основы заботы,7.3
12.168,1983-05-28,"С Рождеством, мистер Лоуренс!",7.3
12.049,1998-12-09,Кирику и колдунья,7.3
15.887,1993-01-20,Сталинград,7.3
23.22,1983-11-18,Рождественская история,7.3
12.801,2018-06-14,Виновный,7.3
17.537,1975-09-24,Три дня Кондора,7.3
16.113,1994-12-21,Маленькие женщины,7.3
28.836,1984-11-09,Кошмар на улице Вязов,7.3
6.095,2020-11-20,Два далеких незнакомца,7.3
11.586,2020-10-21,"Пока-пока, идиоты!",7.3
9.762,2019-04-18,Дело Коллини,7.3
10.516,1966-05-04,Ястребы и воробьи,7.3
8.819,2016-10-27,Война за любовь,7.3
27.521,2012-09-28,Абсолютно точный,7.3
7.685,1995-02-25,Гражданин X,7.3
09.08,1981-12-01,На Золотом пруду,7.3
12.467,2007-12-14,Бегущий за ветром,7.3
16.281,2021-12-17,Лебединая песня,7.3
24.181,2019-01-10,Путь собаки домой,7.3
29.797,2014-10-08,Судья,7.3
10.015,2013-09-20,Ланчбокс,7.3
51.504,2015-12-15,Звёздные войны: Пробуждение силы,7.3
9.001,2012-09-13,Дважды рожденный,7.3
11.94,2007-03-02,Становление Джейн,7.3
1468.421,2022-11-16,Разочарованный,7.3
30.245,1974-10-01,Техасская резня бензопилой,7.3
14.234,2013-05-28,Венера в мехах,7.3
14.143,2015-10-20,Бруклин,7.3
9.595,2007-03-22,Фальшивомонетчики,7.3
13.581,1956-03-23,Запретная планета,7.3
11.666,2016-08-28,Команда Тора,7.3
10.749,1977-08-31,Дуэлисты,7.3
69.837,2009-06-02,Похмелье,7.3
12.383,1974-11-01,Первая страница,7.3
30.339,1981-09-10,Зловещие мертвецы,7.3
39.056,2020-06-24,#Живой,7.3
22.922,2015-10-07,Барби и её сёстры в большом щенячьем приключении,7.3
17.313,2015-02-05,Муне: Хранитель Луны,7.3
9.311,2011-09-22,Выходные,7.3
6.19,1983-09-01,Токсичная любовь,7.3
9.018,2008-10-15,Фрост/Никсон,7.3
14.397,1998-12-25,Патч Адамс,7.3
22.817,2001-04-20,Хребет дьявола,7.3
32.04,2016-10-14,Ганц:О,7.3
26.201,2004-07-23,Превосходство Борна,7.3
9137.939,2022-10-19,Чёрный Адам,7.3
17.229,2017-12-25,Двенадцатый игрок,7.3
11.773,2015-10-14,Субурра,7.3
18.101,2016-08-11,ад или потоп,7.3
14.834,2015-10-02,Свободная собственность,7.3
12.012,2014-08-06,Стофутовое путешествие,7.3
13.016,1986-03-14,Перекресток,7.3
39.295,2006-04-11,Бесспорный II: Последний выживший,7.3
9.884,1984-09-07,Кровь Простая,7.3
20.639,2019-11-12,Леди и Бродяга,7.3
83.936,2014-12-10,Хоббит: Битва пяти воинств,7.3
19.319,1972-03-22,Кулак ярости,7.3
16.95,1988-11-23,Они живут,7.3
10.562,1966-10-19,Печенье с предсказанием,7.3
12.369,1961-12-13,Вестсайдская история,7.3
6.346,2018-08-02,Перелетные птицы,7.3
9.388,2017-09-29,Удачливый,7.3
58.13,2014-06-26,Рассвет планеты обезьян,7.3
8.852,1989-10-05,Генрих V,7.3
10.13,1979-03-14,Волосы,7.3
17.858,2004-05-19,Дом Летающих Кинжалов,7.3
16.7,2007-06-06,"Ушла, малышка ушла",7.3
9.597,1962-03-09,Нож в воде,7.3
12.174,2017-02-10,Поцелуй и плач,7.3
13.811,2016-08-10,Туннель,7.3
5.151,2011-09-02,Человек из будущего,7.3
7.465,1917-06-17,Иммигрант,7.3
16.004,2010-12-22,Настоящая храбрость,7.3
10.317,2018-04-13,Сезон чудес,7.3
15.524,2017-01-24,Лига Справедливости Тёмная,7.3
20.569,2011-12-25,Боевой конь,7.3
21.591,2004-03-06,Призрак в доспехах 2: Невинность,7.3
11.479,1993-05-02,Загадочное убийство на Манхэттене,7.3
21.385,2000-12-16,Королевская битва,7.3
18.069,2017-12-25,Призрачная нить,7.3
1.925,2011-06-01,Люди Икс: Первый класс,7.3
21.438,1995-12-22,Балто,7.3
15.091,2010-04-24,Собачий приют,7.3
6.2,1995-08-30,Церемония,7.3
12.245,1983-02-04,Видеодром,7.3
12.429,2001-06-15,Лагаан: Однажды в Индии,7.3
688.791,2022-08-11,Падать,7.3
9.825,2020-04-16,Секрет: Не бойтесь мечтать,7.3
5.692,2012-04-25,Что в имени?,7.3
12.683,2010-09-16,Ключ Сары,7.3
13.303,2009-10-19,Холостяк,7.3
22.18,2006-08-18,Иллюзионист,7.3
16.934,1996-11-22,Звездный путь: Первый контакт,7.3
12.857,2015-06-24,Колония,7.3
6.736,1966-05-27,Мужчина и женщина,7.3
22.496,1995-09-07,"Вонг Фу, спасибо за всё! Джули Ньюмар",7.3
12.161,2016-11-10,Центр моего мира,7.3
7.231,2012-09-21,Бланканиевы,7.3
14.053,2012-09-26,В доме,7.3
7.597,1976-11-05,Нападение на 13-й полицейский участок,7.3
89.284,2019-11-20,Замороженный II,7.3
6.893,2006-10-01,Семейный друг,7.3
30.321,2011-03-30,Исходный код,7.3
7.293,1989-09-06,Таинственный поезд,7.3
42.515,1970-12-24,Коты-аристократы,7.3
25.842,1995-07-19,Бестолковый,7.3
14.271,2013-09-03,Короткометражный комикс Marvel: Агент Картер,7.3
8.271,2010-12-07,Начало: Работа на Cobol,7.3
8.751,1974-11-10,Ленни,7.3
11.813,1976-03-09,Послание,7.3
13.455,2020-01-31,Срок службы лампы,7.3
118.833,2021-11-10,"Клиффорд, большой красный пёс",7.3
12.93,1978-03-01,Змея в тени орла,7.3
14.958,2000-10-20,Передай добро дальше,7.3
10.607,1930-04-01,Голубой Ангел,7.3
95.876,2015-04-22,Мстители: Эра Альтрона,7.3
14.559,2011-09-27,Бэтмен: Год первый,7.3
102.539,2017-02-08,Джон Уик: Глава 2,7.3
22.759,2012-11-17,Евангелион: 3.0 Ты не можешь (переделать),7.3
57.782,2011-07-30,Наруто Шиппуден: Фильм «Кровавая тюрьма»,7.3
15.867,2010-08-21,Красочный,7.3
8.823,1986-10-24,Когда дует ветер,7.3
7.786,1991-09-20,Король-рыбак,7.3
45.628,1984-05-23,Индиана Джонс и Храм Судьбы,7.3
14.345,2020-11-19,Всадники правосудия,7.3
5.441,2016-09-08,Уважаемый гражданин,7.3
20.289,2011-09-16,Скрытое лицо,7.3
24.89,2010-09-09,13 убийц,7.3
15.758,1958-05-22,Дракула,7.3
13.623,1974-02-07,Пылающие седла,7.3
7.172,2000-03-03,Хлеб и тюльпаны,7.3
13.276,2021-07-29,Прибегните к любви,7.3
31.724,2020-10-16,Над Луной,7.3
8.76,1996-06-21,Прекрасная вещь,7.3
9.023,2013-05-31,Yeh Jawaani Hai Deewani,7.3
9.618,1973-05-24,И куда же делась седьмая рота?,7.3
11.169,1963-05-28,Хад,7.3
11.679,2005-06-21,Музыкант-одиночка,7.3
32.799,1973-11-08,Робин Гуд,7.3
11.677,2018-03-09,Утёйя: 22 июля,7.3
63.895,2016-06-08,Заклятие 2,7.3
11.007,2013-05-17,Прошлое,7.3
10.182,1946-07-02,Незнакомец,7.3
15.76,2021-06-10,В высотах,7.3
11.581,1973-12-13,Меня зовут Никто.,7.3
26.201,1976-11-03,Кэрри,7.3
27.529,2019-09-20,"Привет, мир",7.3
52.764,2011-08-03,Восстание планеты обезьян,7.3
8.733,1982-02-12,Отсутствующий,7.3
10.172,1991-08-14,Обязательства,7.3
54.529,1967-10-18,Книга джунглей,7.3
12.743,1994-05-31,"Приключения Присциллы, королевы пустыни",7.3
7.818,1937-10-20,Ужасная правда,7.3
28.115,1990-06-01,Полный Вспомнить,7.3
20.395,2020-03-06,Побег из Претории,7.3
22.394,2017-09-01,Леди Берд,7.3
9.424,1975-04-09,Страх над городом,7.3
83.542,1993-03-06,Dragon Ball Z: Броли – Легендарный Супер Сайян,7.3
11.08,2000-05-11,Брат 2,7.3
27.821,1987-07-17,Робокоп,7.3
22.745,1980-07-02,Самолёт!,7.3
10.974,2015-10-16,Суфражистка,7.3
8.708,2006-04-19,"OSS 117: Каир, гнездо шпионов",7.3
16.263,2004-12-08,Призрак Оперы,7.3
22.854,2007-04-19,Перелом,7.3
80.95,2022-06-29,Решение об отъезде,7.3
10.861,1931-04-23,Враг общества,7.3
20.561,1986-06-27,Лабиринт,7.3
16.101,1992-09-16,О мышах и людях,7.3
10.501,2017-06-09,Меган Ливи,7.3
9.166,2011-08-04,Красная собака,7.3
7.633,1994-08-25,Викторина,7.3
20.276,1992-10-31,Армия Тьмы,7.3
5.881,2019-09-25,От имени земли,7.3
12.491,2013-12-12,Остались в живых только влюбленные.,7.3
16.996,2003-09-16,Зло,7.3
9.771,1981-10-21,Профессионал,7.3
25.537,1987-03-06,Смертельное оружие,7.3
116.114,2022-08-10,Первые шаги Грута,7.3
10.034,2006-11-01,Никому не говори,7.3
9.891,1992-08-20,Мужчина укусил собаку,7.3
32.62,2007-02-15,Мост в Терабитию,7.3
13.903,1990-12-15,Дни дикой жизни,7.3
9.739,1995-12-23,Мертвец,7.3
12.487,1988-12-21,Опасные связи,7.3
7.771,2018-09-05,Шехеразада,7.3
12.545,2017-10-13,Маршалл,7.3
19.72,2012-03-22,Арго,7.3
39.976,2016-07-23,Фильм «Ван Пис»: ЗОЛОТО,7.3
10.46,1980-03-07,Дочь шахтёра,7.3
8.31,1995-10-20,День Зверя,7.3
9.799,2008-05-15,Голод,7.3
28.516,2018-06-07,Наследственный,7.3
37.876,2009-10-07,Зомбиленд,7.3
10.67,2003-09-17,"Полюби меня, если осмелишься.",7.3
23.774,2005-09-16,Военный лорд,7.3
8.759,2015-12-18,Баджирао Мастани,7.3
51.187,2016-01-14,13 часов: Секретные солдаты Бенгази,7.3
18.821,2008-11-05,Молоко,7.3
16.087,2021-10-01,Старый Генри,7.3
35.485,2009-07-17,(500) дней лета,7.3
16.727,1992-04-16,Как вода для шоколада,7.3
22.426,1980-09-10,"Боги, должно быть, сошли с ума.",7.3
9.239,1987-11-12,Багдадское кафе,7.3
4.425,2017-12-28,"Fala Sério, Mãe!",7.3
36.777,2018-05-11,Будка поцелуев,7.3
40.792,2009-08-01,Наруто Шиппуден: Фильм «Воля огня»,7.3
12.201,1987-07-18,Китайская история о привидениях,7.3
12.109,2007-08-10,Чак Де! Индия,7.3
18.862,1995-10-27,Покидаю Лас-Вегас,7.3
5.684,1987-11-25,Эдди Мерфи Роу,7.3
7.123,1962-04-18,Война пуговиц,7.3
11.009,1999-12-22,Человек на Луне,7.3
21.893,2020-12-04,Земля кочевников,7.3
8.057,2009-03-27,Проклятые Юнайтед,7.3
12.186,1995-03-24,Долорес Клейборн,7.3
25.013,1983-03-25,Аутсайдеры,7.3
33.223,2011-07-29,"Безумная, глупая любовь.",7.3
9.434,2001-05-19,Заговор,7.3
24.499,2008-10-10,Повелитель бури,7.3
9.883,1995-06-09,Дым,7.3
8.371,1941-02-25,Леди Ева,7.3
18.009,2020-09-11,Дьявол всегда рядом,7.3
10.932,2016-09-23,Королева Катве,7.3
12.722,1954-07-22,Семь невест для семи братьев,7.3
23.67,1999-05-21,Ноттинг-Хилл,7.3
89.868,2007-08-04,Наруто Шиппуден Фильм,7.3
66.752,2021-08-12,Не дыши 2,7.3
7.978,2013-10-25,Ида,7.3
12.217,1976-10-08,Марафонец,7.3
11.73,2005-09-09,Хулиганы с Грин-стрит,7.3
14.33,1991-11-13,Кейп-Фир,7.3
37.714,2021-07-08,Улица Страха: 1978,7.3
36.08,2019-11-07,Прошлое Рождество,7.3
16.851,2013-09-07,Начать заново,7.3
85.798,2013-11-20,Замороженный,7.3
14.033,1946-12-26,Большие надежды,7.3
13.159,1998-09-17,Плезантвилль,7.3
14.852,2021-11-19,"Давай, давай!",7.3
14.864,2020-02-24,Супермен: Красный Сын,7.3
14.464,2019-02-25,Наш друг,7.3
16.841,2017-05-18,"Всё, всё",7.3
22.092,2022-01-21,Дочь короля,7.3
10.004,2012-08-31,Ваджда,7.3
12.05,2013-02-07,Безопасное убежище,7.3
25.993,2000-12-12,Бэтмен будущего: Возвращение Джокера,7.3
12.831,1999-01-22,Святые из Бундока,7.3
9.154,2018-03-28,Всадник,7.3
9.633,2016-06-24,Продавец,7.3
22.062,2016-10-07,Зов чудовища,7.3
10.145,2011-02-12,«Сансет Лимитед»,7.3
8.66,2011-04-20,Быстрая пятерка,7.3
16.514,2009-03-03,Чудо-женщина,7.3
5.688,1996-09-07,Семейное сходство,7.3
12.759,2006-09-09,"Страннее, чем вымысел",7.3
70.347,2002-05-01,Человек-паук,7.3
20.807,2003-12-24,Монстр,7.3
11.035,2004-01-18,"Мария, исполненная благодати",7.3
322.673,2022-10-19,Школа Добра и Зла,7.3
14.179,2006-01-01,Расписная вуаль,7.3
5.045,2017-04-04,"Луис Си Кей, 2017",7.2
24.25,2017-12-01,Форма воды,7.2
14.047,2011-03-11,Джейн Эйр,7.2
15.635,2010-03-31,Последняя песня,7.2
11.376,1982-04-25,Виктор/Виктория,7.2
7.943,2006-09-06,"Не волнуйся, со мной все в порядке.",7.2
25.774,2018-06-16,Мираи,7.2
49.343,2003-10-23,Брат Медведь,7.2
103.461,1963-12-25,Меч в камне,7.2
17.13,2016-12-06,Сопутствующая красота,7.2
6.94,2005-09-16,Всё освещено,7.2
12.111,2010-02-16,Иллюзионист,7.2
29.069,2013-09-19,Согласованность,7.2
13.301,2009-04-01,"Лодка, которая качалась",7.2
29.994,2004-08-21,Наруто: Столкновение ниндзя в Стране Снега,7.2
32.706,2002-05-22,Необратимый,7.2
46.647,2017-12-09,Фердинанд,7.2
13.901,2016-02-19,Раса,7.2
10.255,2010-10-20,Прекрасная,7.2
31.647,2010-01-25,Барби в «Истории русалки»,7.2
20.114,2004-09-09,Затвор,7.2
21.434,2007-08-09,Звездная пыль,7.2
12.13,2003-09-06,Затоичи,7.2
14.255,2017-09-26,«Бегущий по лезвию: Затмение» 2022,7.2
13.507,2019-12-19,Ип Ман 4: Финал,7.2
11.878,2016-09-07,Эпоха теней,7.2
16.044,2019-09-12,Щегол,7.2
50.065,2017-05-30,Чудо-женщина,7.2
11.79,2014-04-19,5–7,7.2
20.991,2011-09-23,Маниболл,7.2
15.026,1992-01-17,Сок,7.2
7.011,1976-08-20,Дом Смеющихся Оконов,7.2
9.137,1947-09-05,Темный проход,7.2
34.901,1998-11-12,Познакомьтесь с Джо Блэком.,7.2
19.878,2018-09-21,Сама жизнь,7.2
18.173,2017-10-13,Профессор Марстон и Чудо-женщины,7.2
12.985,2011-08-26,Охотники за головами,7.2
10.103,1968-09-19,Смешная девушка,7.2
7.533,1975-09-02,Пикник у Висячей скалы,7.2
9.204,1955-12-08,Убийцы леди,7.2
12.694,1976-10-27,Крыло или бедро?,7.2
14.445,1995-02-03,В устах безумия,7.2
18.664,1987-11-26,"Самолеты, поезда и автомобили",7.2
8.992,1980-09-17,Последнее метро,7.2
7.054,1986-10-17,Тени в раю,7.2
20.188,2019-07-19,Бэтмен: Тишина,7.2
146.475,2009-01-22,Братья,7.2
8.276,1960-11-25,Застрелите пианиста,7.2
33.983,1995-05-19,Крепкий орешек: Возмездие,7.2
10.766,1971-06-24,Маккейб и миссис Миллер,7.2
7.845,2004-11-12,Г.О.Р.А.,7.2
35.024,2000-03-31,Дорога в Эльдорадо,7.2
19.938,1999-12-17,Человек двухсотлетия,7.2
107.776,2022-03-11,Изгнание Бога,7.2
54.183,2017-09-06,Это,7.2
8.675,2012-11-08,Признание в убийстве,7.2
6.671,1952-09-20,Белый Шейх,7.2
7.826,1971-09-28,А теперь кое-что совершенно другое.,7.2
17.705,1957-12-18,Сисси: Роковые годы императрицы,7.2
36.602,2016-01-28,Десять заповедей: Фильм,7.2
5.983,2015-05-13,Стоя во весь рост,7.2
64.577,2015-04-01,Форсаж 7,7.2
9.47,1985-12-04,Бродяга,7.2
15.439,1994-05-13,Королева Марго,7.2
5.385,2011-03-24,Китайская еда на вынос,7.2
10.258,1995-12-15,Джуманджи,7.2
29.199,2021-07-14,Улица Страха: 1666 год,7.2
17.135,1986-04-09,Бетти Блю,7.2
15.872,1966-04-06,Джанго,7.2
74.214,2007-05-19,Пираты Карибского моря: На краю света,7.2
6.215,2009-07-01,Ёж,7.2
13.834,2005-02-12,Северная страна,7.2
11.91,1939-04-07,Грозовой перевал,7.2
11.701,1959-03-18,Дневник Анны Франк,7.2
34.535,2003-09-01,Мечтатели,7.2
14.728,1989-12-13,Вождение мисс Дейзи,7.2
21.121,2018-02-22,Каждый день,7.2
17.275,2017-07-26,Остров Линкора,7.2
8.301,2017-03-02,О теле и душе,7.2
8.782,1963-08-17,Black Sabbath,7.2
21.227,1985-12-13,Зацепка,7.2
113.734,2020-09-02,После нашего столкновения,7.2
1043.02,2022-09-08,Средневековье,7.2
24.855,2017-01-22,До костей,7.2
86.376,2021-05-19,Ф9,7.2
7.444,2011-10-07,Тираннозавр,7.2
22.136,2005-05-06,Крушение,7.2
23.091,1979-06-15,Рокки II,7.2
63.706,2022-09-16,Жемчуг,7.2
12.567,2016-08-26,Это всего лишь конец света.,7.2
11.847,1945-11-30,Объезд,7.2
7.21,2003-12-19,"Мунна Бхай, врач (M.B.B.S.).",7.2
23.298,1998-05-22,Страх и отвращение в Лас-Вегасе,7.2
12.893,1960-10-23,Аламо,7.2
18.499,2015-10-15,Шпионский мост,7.2
62.884,2014-09-24,Эквалайзер,7.2
